Source,Target,Throughput,Loss,Delay,Jitter
0,1,46,205,51,42
0,2,32,69,170,-73
0,3,71,82,120,-44
0,4,66,490,37,54
0,5,100,232,148,-61
0,6,56,213,112,58
0,7,82,178,108,-47
0,8,7,346,56,73
0,9,8,468,41,-73
0,10,78,75,46,48
0,11,61,147,132,-85
0,12,6,407,84,-28
0,13,76,94,122,-46
0,14,61,35,60,-78
0,15,31,8,104,7
0,16,92,451,52,-80
0,17,34,132,32,-43
0,18,61,378,182,-8
0,19,8,347,126,-9
1,2,98,145,110,56
1,3,47,14,148,20
1,4,21,117,122,-21
1,5,69,210,107,100
1,6,44,335,27,-23
1,7,66,65,46,7
1,8,98,473,50,99
1,9,82,196,59,54
1,10,99,20,54,-81
1,11,28,61,74,-24
1,12,85,51,40,60
1,13,61,425,134,-62
1,14,35,61,128,23
1,15,58,40,10,33
1,16,89,432,181,-77
1,17,4,483,186,36
1,18,4,348,82,66
1,19,71,53,44,-17
2,3,55,174,15,48
2,4,96,304,184,-5
2,5,87,139,110,71
2,6,27,51,10,51
2,7,35,222,57,-30
2,8,33,230,111,41
2,9,86,225,41,-92
2,10,40,112,10,-54
2,11,47,72,179,67
2,12,57,413,129,60
2,13,9,401,26,59
2,14,48,106,58,46
2,15,94,60,191,87
2,16,62,61,103,79
2,17,38,390,10,-48
2,18,81,251,112,60
2,19,97,118,39,53
3,4,36,388,74,-58
3,5,65,24,154,69
3,6,30,232,151,-36
3,7,89,74,120,-81
3,8,45,351,79,-3
3,9,23,473,70,94
3,10,20,400,130,9
3,11,87,28,83,21
3,12,59,179,14,-75
3,13,39,216,61,-97
3,14,3,113,93,-94
3,15,73,108,197,-45
3,16,7,316,140,-66
3,17,1,374,160,-93
3,18,14,165,178,67
3,19,30,347,199,19
4,5,36,184,20,-60
4,6,55,259,193,8
4,7,73,167,157,-88
4,8,11,323,142,65
4,9,95,320,160,-1
4,10,37,283,89,72
4,11,48,108,106,89
4,12,41,98,175,88
4,13,87,263,181,42
4,14,70,491,146,-97
4,15,19,214,36,11
4,16,44,334,72,-65
4,17,1,400,57,31
4,18,74,491,184,19
4,19,13,22,45,19
5,6,40,338,184,24
5,7,13,47,173,-95
5,8,49,9,194,-64
5,9,1,494,179,-11
5,10,23,486,198,-63
5,11,81,263,99,98
5,12,60,286,178,39
5,13,75,48,175,-52
5,14,74,389,126,-33
5,15,1,353,34,-62
5,16,26,109,144,-72
5,17,62,75,49,39
5,18,27,5,96,29
5,19,19,25,148,-13
6,7,74,283,10,-57
6,8,37,361,85,18
6,9,79,445,174,-8
6,10,90,426,193,52
6,11,29,212,199,69
6,12,22,240,118,-67
6,13,12,170,23,84
6,14,72,130,164,13
6,15,90,168,16,-28
6,16,68,69,53,87
6,17,2,288,57,72
6,18,60,191,169,-86
6,19,91,297,195,-44
7,8,86,144,128,-17
7,9,72,4,123,23
7,10,64,96,36,13
7,11,64,436,49,-77
7,12,72,158,143,-85
7,13,73,246,21,-29
7,14,60,6,176,-85
7,15,79,238,157,81
7,16,83,459,164,82
7,17,81,347,137,53
7,18,43,497,180,26
7,19,4,480,128,51
8,9,83,488,59,-73
8,10,65,237,43,-17
8,11,59,167,16,-29
8,12,93,148,14,57
8,13,44,219,105,-86
8,14,12,424,191,79
8,15,23,82,4,6
8,16,34,396,187,-28
8,17,84,42,29,82
8,18,75,488,73,42
8,19,72,245,101,91
9,10,46,263,118,74
9,11,46,301,129,-75
9,12,45,101,82,36
9,13,91,436,66,66
9,14,89,136,138,10
9,15,78,389,120,13
9,16,62,495,149,45
9,17,96,425,6,-58
9,18,76,308,154,-20
9,19,10,63,2,16
10,11,14,82,65,-43
10,12,10,398,92,-63
10,13,38,496,28,63
10,14,76,130,193,76
10,15,4,434,52,70
10,16,96,493,182,0
10,17,39,242,47,32
10,18,24,472,195,97
10,19,22,254,101,95
11,12,54,54,51,-49
11,13,50,455,169,54
11,14,4,249,64,72
11,15,76,266,187,48
11,16,75,20,132,15
11,17,49,404,151,39
11,18,88,317,27,11
11,19,30,330,26,-77
12,13,86,38,113,5
12,14,13,414,158,-46
12,15,75,146,133,45
12,16,66,488,7,-66
12,17,5,387,123,-1
12,18,37,276,75,-22
12,19,71,69,123,-45
13,14,4,134,176,-94
13,15,53,45,31,58
13,16,22,2,133,53
13,17,91,83,118,-55
13,18,85,488,103,-43
13,19,62,137,188,-56
14,15,40,97,190,88
14,16,74,497,46,29
14,17,53,271,3,-90
14,18,98,301,141,-80
14,19,64,338,63,96
15,16,3,284,58,-48
15,17,81,122,176,68
15,18,49,405,113,-2
15,19,39,158,26,-46
16,17,86,91,109,87
16,18,42,438,26,-62
16,19,19,14,121,-98
17,18,23,312,42,-57
17,19,48,150,78,45
18,19,67,177,110,-95
