delay,loss,jitter
137204,310633,-2498
137204,310633,-2498
137204,310633,-2498
137204,310633,-2498
137204,310633,-2498
137068,318527,-1031
137068,318527,-1031
137068,318527,-1031
137068,318527,-1031
137068,318527,-1031
137204,310633,-2498
137204,310633,-2498
137204,310633,-2498
137204,310633,-2498
137204,310633,-2498
137204,310633,-2498
137068,318527,-1031
137068,318527,-1031
137068,318527,-1031
137204,310633,-2498
137204,310633,-2498
126541,293957,1408
128048,307427,588
131211,308500,484
137068,318527,-1031
134518,316113,-73
137068,318527,-1031
137068,318527,-1031
