Source,Target,Throughput,Loss,Delay,Jitter
0,1,4,78,40,65
0,2,52,297,75,44
0,3,27,21,4,-47
0,4,48,165,38,59
0,5,42,3,131,72
0,6,45,101,133,65
0,7,13,330,176,26
0,8,17,435,112,79
0,9,95,455,54,-16
1,2,53,236,109,-25
1,3,55,271,200,21
1,4,40,188,97,16
1,5,31,342,79,68
1,6,26,126,83,13
1,7,76,317,79,-22
1,8,92,433,63,-29
1,9,62,181,56,-63
2,3,32,248,184,57
2,4,20,157,124,45
2,5,91,481,9,99
2,6,45,343,156,37
2,7,86,65,199,-71
2,8,60,225,143,40
2,9,21,433,2,-7
3,4,15,104,49,51
3,5,26,179,161,57
3,6,41,126,194,45
3,7,8,443,33,-7
3,8,89,322,156,-39
3,9,60,411,12,7
4,5,48,121,190,-13
4,6,64,442,85,-12
4,7,16,387,174,-86
4,8,27,100,110,-78
4,9,84,430,101,-6
5,6,47,455,65,-28
5,7,13,214,133,78
5,8,48,54,113,-19
5,9,86,465,190,92
6,7,53,4,114,-31
6,8,19,68,2,97
6,9,1,188,111,-82
7,8,48,285,134,-30
7,9,72,387,13,-15
8,9,10,388,135,-67
